timestamp,fast_label_propagation_communities
20190120,14
20190121,9
20190123,9
20190128,11
20190129,13
20190130,8
20190220,7
20190225,9
20190226,6
20190227,9
20190228,8
20190303,11
20190304,11
20190306,13
20190311,9
20190312,14
20190313,13
20190314,13
20190317,14
20190318,13
20190428,8
20190429,7
20190501,7
20190506,7
20190507,6
20190508,10
20190509,5
20190617,14
20190618,13
20190619,12
20190620,13
20190623,14
20190624,12
20190626,10
20190715,13
20190716,8
20190717,10
20190718,11
20190721,9
20190722,8
20190724,10
20190729,9
20190730,8
20190731,13
20190801,13
20190804,8
20190805,9
20190807,12
20190812,12
20190813,8
20190814,10
20190815,12
20190818,14
20190819,11
20190821,9
20190826,12
20190827,8
20190828,12
20190829,11
20190901,14
20190902,12
20190904,15
20190909,11
20190910,12
20190911,11
20190912,12
20190915,12
20190916,14
20190918,14
20190923,14
20190924,11
20190925,18
20190926,13
20190929,11
20190930,13
20191002,12
20191007,14
20191008,15
20191009,9
20191010,13
20191013,10
20191014,19
20191016,15
20191021,17
20191022,14
20191023,14
20191024,12
20191027,11
20191028,11
20191030,14
20191104,11
20191105,7
20191106,8
20191107,7
20191110,9
20191111,8
20191113,12
20191118,11
20200127,22
20200128,20
20200129,18
20200130,19
20200202,15
20200203,15
20200205,13
20200210,13
20200211,13
20200212,11
20200213,15
20200216,15
20200217,12
20200219,13
20200224,15
20200225,14
20200226,14
20200227,17
20200301,15
20200302,14
20200304,16
20200309,16
20200310,17
20200311,18
20200312,15
20200315,15
20200316,16
20200318,19
20200323,20
20200324,17
20200325,20
20200326,21
20200329,20
20200330,25
20200401,24
20200406,21
20200407,21
20200408,19
20200409,23
20200412,18
20200413,21
20200415,22
20200420,18
20200421,22
20200422,23
20200423,19
20200426,21
20200427,20
20200429,21
20200504,22
20200505,22
20200506,27
20200507,26
20200510,29
20200511,25
20200513,28
20200518,23
20200519,29
20200520,27
20200521,24
20200524,28
20200525,23
20200527,33
20200601,30
20200602,29
20200603,27
20200604,28
20200610,27
20200615,23
20200616,26
20200617,26
20200618,28
20200621,30
20200622,23
20200624,32
20200629,30
20200630,27
20200701,29
20200702,28
20200705,30
20200706,31
20200708,32
20200713,26
20200714,32
20200715,28
20200716,28
20200719,30
20200720,35
20200722,32
20200727,24
20200728,23
20200729,26
20200730,26
20200802,26
20200803,25
20200805,30
20200810,33
20200811,29
20200812,29
20200813,24
20200816,29
20200817,26
20200819,29
20200824,28
20200825,33
20200826,34
20200827,29
20200830,31
20200831,38
20200902,34
20200907,33
20200908,30
20200909,32
20200910,28
20200913,28
20200914,31
20200916,27
20200921,31
20200922,27
20200923,36
20200924,28
20200927,35
20200928,32
20200930,28
20201005,29
20201006,24
20201007,22
20201008,20
20201011,19
20201012,23
20201014,25
20201019,22
20201020,26
20201021,26
20201022,25
20201025,26
20201026,28
20201102,33
20201103,33
20201104,30
20201105,39
20201108,38
20201109,40
20201117,34
20201118,44
20201119,41
20201122,39
20201123,49
20201201,41
20201202,38
20201203,41
20201206,43
20201207,42
20201215,41
20201216,42
20201220,37
20201221,40
20201229,42
20201230,45
20210103,40
20210104,33
20210112,47
20210113,44
20210117,40
20210126,49
20210127,47
20210131,52
20210209,54
20210210,54
20210214,59
20210223,60
20210224,66
20210228,66
20210309,69
20210310,62
20210314,66
20210323,70
20210324,71
20210328,87
20210406,89
20210407,86
20210411,92
20210420,89
20210421,95
20210425,91
20210504,94
20210505,99
20210509,85
20210518,99
20210519,85
20210523,72
20210601,84
20210602,82
20210606,92
20210615,96
20210616,83
20210620,89
20210629,95
20210630,90
20210704,90
20210713,84
20210714,92
20210718,96
20210727,99
20210728,104
20210801,95
20210810,110
20210811,112
20210815,114
20210824,122
20210825,109
20210829,120
20210907,115
20210908,124
20210912,115
20210921,128
20210926,130
20211010,131
20220222,171
20220227,170
20220308,165
20220313,174
20220322,180
20220327,172
20220405,176
20220410,190
20220419,189
20220424,189
20220503,185
20220508,198
20220517,210
20220522,207
20220531,213
20220605,199
20230604,113
20230618,114
20230702,91
20230716,86
