timestamp,fast_label_propagation_communities
20190120,11
20190121,8
20190123,8
20190128,11
20190129,12
20190130,12
20190220,12
20190225,8
20190226,8
20190227,8
20190228,9
20190303,12
20190304,12
20190306,14
20190311,14
20190312,16
20190313,14
20190314,14
20190317,16
20190318,14
20190428,6
20190429,6
20190501,6
20190506,4
20190507,4
20190508,6
20190509,6
20190617,14
20190618,15
20190619,12
20190620,13
20190623,12
20190624,11
20190626,9
20190715,8
20190716,9
20190717,7
20190718,9
20190721,11
20190722,9
20190724,8
20190729,8
20190730,8
20190731,10
20190801,8
20190804,7
20190805,7
20190807,8
20190812,7
20190813,7
20190814,6
20190815,6
20190818,5
20190819,5
20190821,7
20190826,7
20190827,7
20190828,8
20190829,7
20190901,8
20190902,8
20190904,9
20190909,7
20190910,4
20190911,5
20190912,6
20190915,7
20190916,5
20190918,6
20190923,9
20190924,11
20190925,9
20190926,10
20190929,11
20190930,13
20191002,9
20191007,13
20191008,13
20191009,11
20191010,12
20191013,11
20191014,11
20191016,12
20191021,13
20191022,14
20191023,13
20191024,12
20191027,12
20191028,14
20191030,13
20191104,8
20191105,8
20191106,8
20191107,10
20191110,10
20191111,10
20191113,11
20191118,11
20200127,15
20200128,15
20200129,13
20200130,16
20200202,13
20200203,11
20200205,10
20200210,10
20200211,10
20200212,12
20200213,13
20200216,11
20200217,10
20200219,9
20200224,14
20200225,12
20200226,12
20200227,14
20200301,15
20200302,12
20200304,14
20200309,16
20200310,16
20200311,16
20200312,15
20200315,14
20200316,15
20200318,16
20200323,19
20200324,19
20200325,18
20200326,19
20200329,21
20200330,22
20200401,23
20200406,22
20200407,20
20200408,21
20200409,18
20200412,21
20200413,21
20200415,19
20200420,18
20200421,22
20200422,22
20200423,20
20200426,22
20200427,19
20200429,25
20200504,22
20200505,20
20200506,19
20200507,23
20200510,26
20200511,27
20200513,27
20200518,24
20200519,24
20200520,24
20200521,23
20200524,23
20200525,24
20200527,26
20200601,22
20200602,23
20200603,22
20200604,27
20200610,20
20200615,20
20200616,23
20200617,22
20200618,24
20200621,24
20200622,24
20200624,24
20200629,24
20200630,24
20200701,26
20200702,26
20200705,26
20200706,24
20200708,27
20200713,24
20200714,26
20200715,23
20200716,22
20200719,25
20200720,25
20200722,28
20200727,28
20200728,29
20200729,27
20200730,30
20200802,27
20200803,30
20200805,28
20200810,27
20200811,24
20200812,28
20200813,27
20200816,30
20200817,30
20200819,28
20200824,28
20200825,30
20200826,29
20200827,27
20200830,30
20200831,26
20200902,32
20200907,33
20200908,29
20200909,32
20200910,32
20200913,28
20200914,31
20200916,29
20200921,32
20200922,30
20200923,30
20200924,31
20200927,32
20200928,28
20200930,30
20201005,20
20201006,18
20201007,17
20201008,18
20201011,22
20201012,18
20201014,19
20201019,22
20201020,21
20201021,22
20201022,23
20201025,21
20201026,21
20201102,34
20201103,37
20201104,33
20201105,35
20201108,42
20201109,39
20201117,42
20201118,46
20201119,42
20201122,48
20201123,47
20201201,46
20201202,48
20201203,41
20201206,45
20201207,47
20201215,44
20201216,40
20201220,40
20201221,37
20201229,44
20201230,42
20210103,39
20210104,37
20210112,37
20210113,41
20210117,39
20210126,51
20210127,49
20210131,47
20210209,52
20210210,55
20210214,49
20210223,63
20210224,63
20210228,62
20210309,69
20210310,71
20210314,69
20210323,77
20210324,73
20210328,80
20210406,84
20210407,91
20210411,93
20210420,94
20210421,95
20210425,98
20210504,96
20210505,92
20210509,95
20210518,93
20210519,88
20210523,96
20210601,95
20210602,89
20210606,81
20210615,96
20210616,90
20210620,98
20210629,103
20210630,102
20210704,96
20210713,96
20210714,101
20210718,102
20210727,107
20210728,108
20210801,103
20210810,119
20210811,119
20210815,124
20210824,141
20210825,133
20210829,137
20210907,136
20210908,140
20210912,132
20210921,143
20210926,134
20211010,144
20220222,202
20220227,180
20220308,190
20220313,192
20220322,189
20220327,194
20220405,198
20220410,203
20220419,204
20220424,214
20220503,220
20220508,219
20220517,230
20220522,235
20220531,229
20220605,212
20230604,106
20230618,117
20230702,102
20230716,95
