timestamp,fast_label_propagation_communities
20190120,11
20190121,7
20190123,6
20190128,10
20190129,11
20190130,11
20190220,16
20190225,15
20190226,17
20190227,16
20190228,17
20190303,19
20190304,17
20190306,22
20190311,25
20190312,23
20190313,26
20190314,28
20190317,25
20190318,27
20190428,11
20190429,15
20190501,15
20190506,13
20190507,13
20190508,14
20190509,10
20190617,28
20190618,26
20190619,28
20190620,27
20190623,22
20190624,26
20190626,23
20190715,15
20190716,14
20190717,15
20190718,16
20190721,21
20190722,19
20190724,20
20190729,24
20190730,24
20190731,25
20190801,25
20190804,22
20190805,23
20190807,19
20190812,21
20190813,22
20190814,18
20190815,21
20190818,20
20190819,19
20190821,20
20190826,17
20190827,18
20190828,18
20190829,18
20190901,19
20190902,17
20190904,16
20190909,16
20190910,15
20190911,15
20190912,15
20190915,16
20190916,16
20190918,17
20190923,21
20190924,21
20190925,21
20190926,21
20190929,21
20190930,23
20191002,22
20191007,20
20191008,19
20191009,19
20191010,19
20191013,18
20191014,25
20191016,21
20191021,24
20191022,27
20191023,22
20191024,24
20191027,24
20191028,28
20191030,23
20191104,18
20191105,19
20191106,18
20191107,21
20191110,24
20191111,26
20191113,24
20191118,25
20200127,35
20200128,33
20200129,38
20200130,40
20200202,33
20200203,31
20200205,22
20200210,30
20200211,31
20200212,32
20200213,30
20200216,31
20200217,30
20200219,31
20200224,33
20200225,29
20200226,33
20200227,30
20200301,33
20200302,32
20200304,34
20200309,35
20200310,35
20200311,35
20200312,34
20200315,33
20200316,37
20200318,39
20200323,37
20200324,36
20200325,38
20200326,37
20200329,40
20200330,41
20200401,44
20200406,46
20200407,38
20200408,40
20200409,45
20200412,42
20200413,44
20200415,40
20200420,41
20200421,41
20200422,42
20200423,40
20200426,41
20200427,43
20200429,41
20200504,41
20200505,44
20200506,45
20200507,45
20200510,41
20200511,42
20200513,39
20200518,39
20200519,41
20200520,42
20200521,42
20200524,51
20200525,49
20200527,52
20200601,49
20200602,43
20200603,48
20200604,61
20200610,37
20200615,43
20200616,48
20200617,46
20200618,43
20200621,48
20200622,46
20200624,51
20200629,45
20200630,43
20200701,44
20200702,48
20200705,46
20200706,47
20200708,48
20200713,48
20200714,47
20200715,45
20200716,44
20200719,49
20200720,48
20200722,48
20200727,46
20200728,48
20200729,48
20200730,50
20200802,48
20200803,48
20200805,44
20200810,47
20200811,44
20200812,41
20200813,45
20200816,47
20200817,45
20200819,42
20200824,41
20200825,44
20200826,52
20200827,43
20200830,41
20200831,41
20200902,41
20200907,38
20200908,36
20200909,37
20200910,37
20200913,37
20200914,38
20200916,39
20200921,42
20200922,40
20200923,40
20200924,40
20200927,38
20200928,44
20200930,44
20201005,39
20201006,39
20201007,37
20201008,36
20201011,46
20201012,43
20201014,44
20201019,39
20201020,39
20201021,40
20201022,45
20201025,45
20201026,46
20201102,46
20201103,50
20201104,46
20201105,52
20201108,57
20201109,57
20201117,125
20201118,59
20201119,69
20201122,68
20201123,70
20201201,63
20201202,61
20201203,63
20201206,64
20201207,60
20201215,60
20201216,61
20201220,65
20201221,65
20201229,66
20201230,65
20210103,65
20210104,58
20210112,87
20210113,86
20210117,68
20210126,66
20210127,66
20210131,68
20210209,66
20210210,65
20210214,72
20210223,72
20210224,75
20210228,91
20210309,95
20210310,94
20210314,97
20210323,99
20210324,96
20210328,102
20210406,104
20210407,114
20210411,126
20210420,119
20210421,123
20210425,130
20210504,215
20210505,119
20210509,120
20210518,165
20210519,121
20210523,206
20210601,184
20210602,153
20210606,118
20210615,150
20210616,167
20210620,130
20210629,158
20210630,145
20210704,147
20210713,129
20210714,137
20210718,154
20210727,166
20210728,185
20210801,168
20210810,217
20210811,208
20210815,239
20210824,262
20210825,272
20210829,288
20210907,280
20210908,287
20210912,260
20210921,324
20210926,309
20211010,304
20220222,556
20220227,473
20220308,510
20220313,493
20220322,492
20220327,527
20220405,487
20220410,433
20220419,473
20220424,581
20220503,564
20220508,582
20220517,599
20220522,611
20220531,600
20220605,602
20230604,355
20230618,370
20230702,348
20230716,335
