timestamp,fast_label_propagation_communities
20190120,11
20190121,9
20190123,9
20190128,8
20190129,10
20190130,10
20190220,11
20190225,10
20190226,10
20190227,9
20190228,9
20190303,19
20190304,17
20190306,17
20190311,23
20190312,20
20190313,20
20190314,24
20190317,19
20190318,16
20190428,12
20190429,11
20190501,9
20190506,6
20190507,8
20190508,6
20190509,9
20190617,20
20190618,18
20190619,18
20190620,18
20190623,20
20190624,16
20190626,16
20190715,13
20190716,16
20190717,16
20190718,16
20190721,17
20190722,19
20190724,18
20190729,17
20190730,22
20190731,20
20190801,20
20190804,20
20190805,20
20190807,17
20190812,16
20190813,16
20190814,14
20190815,18
20190818,17
20190819,16
20190821,14
20190826,15
20190827,17
20190828,17
20190829,18
20190901,16
20190902,17
20190904,14
20190909,15
20190910,11
20190911,12
20190912,13
20190915,15
20190916,12
20190918,13
20190923,16
20190924,17
20190925,15
20190926,18
20190929,21
20190930,17
20191002,14
20191007,18
20191008,14
20191009,13
20191010,13
20191013,11
20191014,15
20191016,17
20191021,27
20191022,25
20191023,17
20191024,26
20191027,18
20191028,30
20191030,17
20191104,19
20191105,16
20191106,18
20191107,19
20191110,20
20191111,27
20191113,20
20191118,23
20200127,26
20200128,30
20200129,29
20200130,28
20200202,23
20200203,25
20200205,22
20200210,20
20200211,21
20200212,25
20200213,20
20200216,21
20200217,20
20200219,22
20200224,27
20200225,23
20200226,25
20200227,24
20200301,26
20200302,27
20200304,25
20200309,25
20200310,25
20200311,22
20200312,22
20200315,21
20200316,24
20200318,26
20200323,26
20200324,24
20200325,21
20200326,21
20200329,25
20200330,24
20200401,31
20200406,23
20200407,24
20200408,27
20200409,27
20200412,24
20200413,24
20200415,27
20200420,27
20200421,28
20200422,30
20200423,28
20200426,31
20200427,30
20200429,28
20200504,28
20200505,31
20200506,30
20200507,34
20200510,29
20200511,31
20200513,33
20200518,34
20200519,32
20200520,34
20200521,34
20200524,32
20200525,33
20200527,29
20200601,34
20200602,35
20200603,34
20200604,42
20200610,28
20200615,40
20200616,36
20200617,34
20200618,36
20200621,34
20200622,39
20200624,36
20200629,35
20200630,35
20200701,36
20200702,34
20200705,35
20200706,30
20200708,38
20200713,42
20200714,38
20200715,35
20200716,37
20200719,42
20200720,32
20200722,43
20200727,39
20200728,39
20200729,35
20200730,40
20200802,35
20200803,35
20200805,33
20200810,46
20200811,35
20200812,37
20200813,39
20200816,40
20200817,37
20200819,39
20200824,41
20200825,35
20200826,36
20200827,34
20200830,39
20200831,39
20200902,40
20200907,39
20200908,39
20200909,40
20200910,33
20200913,32
20200914,44
20200916,34
20200921,45
20200922,37
20200923,35
20200924,43
20200927,37
20200928,36
20200930,39
20201005,32
20201006,35
20201007,32
20201008,33
20201011,35
20201012,31
20201014,29
20201019,31
20201020,36
20201021,33
20201022,35
20201025,35
20201026,37
20201102,41
20201103,44
20201104,40
20201105,39
20201108,52
20201109,48
20201117,50
20201118,46
20201119,47
20201122,47
20201123,50
20201201,43
20201202,50
20201203,48
20201206,45
20201207,48
20201215,42
20201216,42
20201220,45
20201221,47
20201229,51
20201230,46
20210103,44
20210104,46
20210112,56
20210113,51
20210117,55
20210126,56
20210127,56
20210131,59
20210209,59
20210210,62
20210214,65
20210223,72
20210224,77
20210228,80
20210309,77
20210310,77
20210314,89
20210323,75
20210324,86
20210328,88
20210406,96
20210407,112
20210411,115
20210420,108
20210421,116
20210425,127
20210504,114
20210505,107
20210509,119
20210518,120
20210519,105
20210523,115
20210601,119
20210602,105
20210606,113
20210615,119
20210616,123
20210620,120
20210629,116
20210630,120
20210704,117
20210713,107
20210714,109
20210718,126
20210727,140
20210728,127
20210801,147
20210810,148
20210811,142
20210815,151
20210824,160
20210825,170
20210829,144
20210907,168
20210908,161
20210912,156
20210921,156
20210926,161
20211010,172
20220222,233
20220227,229
20220308,233
20220313,236
20220322,249
20220327,233
20220405,240
20220410,245
20220419,264
20220424,290
20220503,250
20220508,264
20220517,266
20220522,292
20220531,286
20220605,269
20230604,149
20230618,158
20230702,122
20230716,140
