timestamp,fast_label_propagation_communities
20190120,16
20190121,10
20190123,11
20190128,13
20190129,13
20190130,16
20190220,9
20190225,9
20190226,10
20190227,10
20190228,9
20190303,14
20190304,13
20190306,14
20190311,17
20190312,16
20190313,14
20190314,13
20190317,15
20190318,16
20190428,6
20190429,7
20190501,7
20190506,5
20190507,6
20190508,7
20190509,7
20190617,18
20190618,16
20190619,19
20190620,15
20190623,14
20190624,13
20190626,11
20190715,12
20190716,12
20190717,9
20190718,14
20190721,12
20190722,13
20190724,11
20190729,11
20190730,12
20190731,12
20190801,13
20190804,12
20190805,11
20190807,14
20190812,15
20190813,14
20190814,13
20190815,13
20190818,11
20190819,8
20190821,12
20190826,10
20190827,11
20190828,10
20190829,10
20190901,12
20190902,11
20190904,11
20190909,10
20190910,10
20190911,10
20190912,10
20190915,10
20190916,10
20190918,9
20190923,11
20190924,12
20190925,11
20190926,13
20190929,13
20190930,15
20191002,13
20191007,15
20191008,15
20191009,14
20191010,12
20191013,13
20191014,14
20191016,14
20191021,15
20191022,17
20191023,16
20191024,15
20191027,16
20191028,16
20191030,14
20191104,11
20191105,11
20191106,10
20191107,11
20191110,13
20191111,12
20191113,15
20191118,13
20200127,16
20200128,18
20200129,17
20200130,17
20200202,14
20200203,14
20200205,12
20200210,12
20200211,13
20200212,14
20200213,14
20200216,12
20200217,12
20200219,12
20200224,15
20200225,15
20200226,13
20200227,13
20200301,17
20200302,14
20200304,17
20200309,17
20200310,19
20200311,19
20200312,19
20200315,19
20200316,20
20200318,19
20200323,23
20200324,22
20200325,20
20200326,23
20200329,22
20200330,24
20200401,25
20200406,26
20200407,26
20200408,25
20200409,23
20200412,27
20200413,26
20200415,25
20200420,23
20200421,25
20200422,24
20200423,24
20200426,25
20200427,25
20200429,24
20200504,26
20200505,25
20200506,24
20200507,26
20200510,27
20200511,32
20200513,30
20200518,29
20200519,27
20200520,29
20200521,29
20200524,27
20200525,32
20200527,31
20200601,30
20200602,31
20200603,32
20200604,28
20200610,27
20200615,28
20200616,27
20200617,30
20200618,32
20200621,32
20200622,31
20200624,30
20200629,30
20200630,29
20200701,30
20200702,29
20200705,29
20200706,30
20200708,33
20200713,31
20200714,32
20200715,31
20200716,29
20200719,34
20200720,34
20200722,33
20200727,33
20200728,34
20200729,30
20200730,32
20200802,30
20200803,35
20200805,34
20200810,36
20200811,31
20200812,33
20200813,35
20200816,34
20200817,32
20200819,31
20200824,33
20200825,34
20200826,34
20200827,32
20200830,38
20200831,34
20200902,39
20200907,40
20200908,38
20200909,42
20200910,39
20200913,37
20200914,39
20200916,37
20200921,41
20200922,41
20200923,37
20200924,37
20200927,37
20200928,37
20200930,38
20201005,25
20201006,25
20201007,24
20201008,22
20201011,26
20201012,25
20201014,24
20201019,27
20201020,27
20201021,23
20201022,25
20201025,24
20201026,26
20201102,35
20201103,38
20201104,38
20201105,41
20201108,45
20201109,45
20201117,48
20201118,49
20201119,48
20201122,53
20201123,49
20201201,51
20201202,52
20201203,47
20201206,50
20201207,50
20201215,49
20201216,44
20201220,48
20201221,47
20201229,47
20201230,45
20210103,45
20210104,45
20210112,47
20210113,49
20210117,48
20210126,58
20210127,61
20210131,55
20210209,64
20210210,65
20210214,62
20210223,71
20210224,75
20210228,78
20210309,79
20210310,77
20210314,75
20210323,83
20210324,81
20210328,94
20210406,108
20210407,108
20210411,110
20210420,110
20210421,108
20210425,105
20210504,114
20210505,112
20210509,104
20210518,106
20210519,97
20210523,94
20210601,103
20210602,101
20210606,97
20210615,110
20210616,110
20210620,112
20210629,122
20210630,119
20210704,121
20210713,120
20210714,120
20210718,120
20210727,120
20210728,125
20210801,124
20210810,136
20210811,129
20210815,141
20210824,155
20210825,153
20210829,152
20210907,151
20210908,155
20210912,147
20210921,160
20210926,159
20211010,164
20220222,224
20220227,211
20220308,224
20220313,219
20220322,224
20220327,224
20220405,227
20220410,251
20220419,244
20220424,249
20220503,251
20220508,250
20220517,282
20220522,270
20220531,269
20220605,262
20230604,136
20230618,154
20230702,130
20230716,128
